item_id,Price,Name,Shopname,commentNum,start_time,end_time
69324297896,4679.00,Apple   iPhone 11 (A2223) 移动联通电信4G手机 双卡双待 绿色 128GB,京东电竞手机官方旗舰店,4300+,2020-08-15 12:40:16,2020-08-15 12:40:16
30430689013,3579.00,iPhone8 plus手机 深空灰 公开版128G,中国移动手机官方旗舰店,2.2万+,2020-08-15 12:40:16,2020-08-15 12:40:16
56693381057,4888.00,Apple iPhone11手机 黑色 128GB,银河信业手机专营店,1700+,2020-08-15 12:40:17,2020-08-15 12:40:17
32942940917,4648.00,Apple  iPhone Xs 手机 深空灰色 全网通 256GB,佳沪电商旗舰店,1.6万+,2020-08-15 12:40:17,2020-08-15 12:40:17
55674461811,8288.00,Apple  iPhone 11Pro Max 手机 暗夜绿色 全网通 256GB,佳沪电商旗舰店,1万+,2020-08-15 12:40:17,2020-08-15 12:40:17
70665505693,5699.00,【24期分期免息】Apple  iPhone 11（A2223）全网通4G手机 双卡双待 黑色 128G,京东之家官方旗舰店,2000+,2020-08-15 12:40:17,2020-08-15 12:40:17
71476463407,9588.00,Apple MacBook Air 202013.3英寸笔记本电脑超薄轻薄本【原装正品】 金色 【2020款】i5/8G/256G  12期免息,Apple爱豆专卖店,200+,2020-08-15 12:40:18,2020-08-15 12:40:18
69324297884,4668.00,Apple   iPhone 11 (A2223) 移动联通电信4G手机 双卡双待 黑色 128GB,京东电竞手机官方旗舰店,4300+,2020-08-15 12:40:18,2020-08-15 12:40:18
16580586467,3588.00,Apple   iPhone8 Plus 手机 深空灰色 全网通 128GB,佳沪电商旗舰店,4.7万+,2020-08-15 12:40:18,2020-08-15 12:40:18
55370143413,4679.00,Apple  iphone 11 手机 黑色 全网通128GB,疆界互联旗舰店,4.1万+,2020-08-15 12:40:19,2020-08-15 12:40:19
3756271,39.90,烟台红富士12个 净重2.6kg以上 单果190-240g 新生鲜水果,水果京东自营专区,297万+,2020-08-15 12:40:19,2020-08-15 12:40:19
55666912716,4699.00,Apple  iPhone 11 手机 黑色 全网通 128GB,佳沪电商旗舰店,11万+,2020-08-15 12:40:20,2020-08-15 12:40:20
16590754162,3578.00,Apple  iPhone8 Plus 手机 深空灰 全网通128GB,茄子手机旗舰店,200+,2020-08-15 12:40:20,2020-08-15 12:40:20
100000287145,6099.00,Apple iPhone XS Max (A2104) 64GB 金色 移动联通电信4G手机 双卡双待,Apple产品京东自营旗舰店,130万+,2020-08-15 12:40:20,2020-08-15 12:40:20
100008348506,8699.00,Apple iPhone 11 Pro (A2217) 64GB 暗夜绿色 移动联通电信4G手机 双卡双待,Apple产品京东自营旗舰店,34万+,2020-08-15 12:40:21,2020-08-15 12:40:21
